Cluster,Centroid,Member,TC Name,Group Label
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Actual: ssh - Expected tel. Information not as expected,TC_DATA_SET_397,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Actual: ssh - Expected tel. Information not as expected,TC_DATA_SET_161,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Expected tel but information now is ssh,TC_DATA_SET_401,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Information should be tel instead of ssh,TC_DATA_SET_167,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Information should be tel instead of ssh,TC_DATA_SET_166,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Actual: ssh - Expected tel. Information not as expected,TC_DATA_SET_43,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
","        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",TC_DATA_SET_371,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Information should be tel instead of ssh,TC_DATA_SET_48,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Expected tel but information now is ssh,TC_DATA_SET_47,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
","        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",TC_DATA_SET_120,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
","        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",TC_DATA_SET_17,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
","        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",TC_DATA_SET_356,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Expected tel but information now is ssh,TC_DATA_SET_165,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Actual: ssh - Expected tel. Information not as expected.,TC_DATA_SET_42,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Information should be tel instead of ssh,TC_DATA_SET_285,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Information should be tel instead of ssh,TC_DATA_SET_403,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
","        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",TC_DATA_SET_02,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Actual: ssh - Expected tel. Information not as expected.,TC_DATA_SET_278,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
","        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",TC_DATA_SET_135,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Expected tel but information now is ssh,TC_DATA_SET_46,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Actual: ssh - Expected tel. Information not as expected.,TC_DATA_SET_396,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Actual: ssh - Expected tel. Information not as expected.,TC_DATA_SET_160,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Expected tel but information now is ssh,TC_DATA_SET_283,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Expected tel but information now is ssh,TC_DATA_SET_400,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Information should be tel instead of ssh,TC_DATA_SET_49,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Information should be tel instead of ssh,TC_DATA_SET_402,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",Expected tel but information now is ssh,TC_DATA_SET_282,Group03
3,"        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
","        Unanalyzed - Error some information not as expected. Actual: ssh - Expected tel 
",TC_DATA_SET_253,Group03
6,"        The failure was due to an initial exception - Need investigation 
","        Need investigationFailed because of a first level exception 
",TC_DATA_SET_242,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_126,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_127,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_469,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_247,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_09,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Need investigationFailed because of a first level exception 
",TC_DATA_SET_360,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Need investigationFailed because of a first level exception 
",TC_DATA_SET_243,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_10,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_08,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_245,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_276,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_114,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failedbecause of afirst level exception - Needinvestigation 
",TC_DATA_SET_122,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failedbecause of afirst level exception - Needinvestigation 
",TC_DATA_SET_123,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_128,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_277,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_115,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_41,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failedbecause of afirst level exception - Needinvestigation 
",TC_DATA_SET_358,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failedbecause of afirst level exception - Needinvestigation 
",TC_DATA_SET_241,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failedbecause of afirst level exception - Needinvestigation 
",TC_DATA_SET_240,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_244,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failedbecause of afirst level exception - Needinvestigation 
",TC_DATA_SET_359,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_394,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Need investigationFailed because of a first level exception 
",TC_DATA_SET_07,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_159,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Need investigationFailed because of a first level exception 
",TC_DATA_SET_361,Group02
6,"        The failure was due to an initial exception - Need investigation 
","	Failed because of a first level exception - Need investigation 
",TC_DATA_SET_01,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failedbecause of afirst level exception - Needinvestigation 
",TC_DATA_SET_05,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Need investigationFailed because of a first level exception 
",TC_DATA_SET_124,Group02
6,"        The failure was due to an initial exception - Need investigation 
","	Failed because of a first level exception - Need investigation 
",TC_DATA_SET_355,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_129,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Need investigationFailed because of a first level exception 
",TC_DATA_SET_125,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_364,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_246,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_365,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_232,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_350,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_11,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_158,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Need investigationFailed because of a first level exception 
",TC_DATA_SET_06,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_395,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_363,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_233,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_468,Group02
6,"        The failure was due to an initial exception - Need investigation 
","	Failed because of a first level exception - Need investigation 
",TC_DATA_SET_119,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failed because of a first level exception - Need investigation 
",TC_DATA_SET_03,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        The failure was due to an initial exception - Need investigation 
",TC_DATA_SET_362,Group02
6,"        The failure was due to an initial exception - Need investigation 
","	Failed because of a first level exception - Need investigation 
",TC_DATA_SET_237,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_40,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failed because of a first level exception - Need investigation 
",TC_DATA_SET_121,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failed because of a first level exception - Need investigation 
",TC_DATA_SET_239,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failedbecause of afirst level exception - Needinvestigation 
",TC_DATA_SET_04,Group02
6,"        The failure was due to an initial exception - Need investigation 
","        Failed because of a first level exception - Need investigation 
",TC_DATA_SET_357,Group02
6,"        The failure was due to an initial exception - Need investigation 
",Need investigation - Failed because of a first level exception,TC_DATA_SET_351,Group02
8,"        Unanalyzed - Error: The samples in CSV file is not correct. Expected: 300, Actual: 298 ","        Unanalyzed - Error: The samples in CSV file is not correct. Expected: 300, Actual: 298 ",TC_DATA_SET_372,Group06
8,"        Unanalyzed - Error: The samples in CSV file is not correct. Expected: 300, Actual: 298 ",The actual samples in CSV is 289,TC_DATA_SET_56,Group06
